SupportTicketID,CustomerID,DateCreated,DateCompleted,Escalated,Theme,Theme_Desc,Text,Sentiment,Process Time
16582,10007217,2018-06-30,2018-04-07,1,price,"cost of the goods to customers.  compare to competitors, sales, discounts",A screwdriver costs over a hundred dollars? Why are your prices so inflated.,negative,-84
13830,10005984,2018-07-15,2018-07-18,0,speed,consider the delivery speed.,Anyway that I can rush overnight ship my order?,neutral,3
53794,10022738,2018-10-14,2018-10-18,0,features,"product features, website features, checkout features",Are the shelves removable from the wine fridge? How many bottles can I store? ,neutral,4
95013,10040142,2018-01-11,2018-10-11,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Are there any Christmas sales coming up?,neutral,273
32660,10013924,2018-06-06,2018-06-06,1,design,"product design, website design",Are there any other colors in the bathroom sink faucet?,neutral,0
35923,10015285,2018-11-16,2018-11-22,0,support,"tech support, customer support, product support",Are there warranties provided on certain installations?,neutral,6
118593,10043929,2018-04-09,2018-10-09,0,reliability,"product reliability, website reliability, delivery reliability",Are these good for one time use? I have used it once and now it is not turning on? So what do we do now?,positive,183
27453,10011770,2018-01-10,2018-02-10,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Are you able to price match on a washer machine that I found online from another retailer?,neutral,31
26017,10011116,2018-11-18,2018-11-22,0,speed,consider the delivery speed.,Are you guys delivering with donkeys or horses?,neutral,4
21258,10009132,2018-10-27,2018-10-28,0,speed,consider the delivery speed.,Are you using horses and buggies to delivery my goods?  The shipping speed is completely unacceptable.,negative,1
45575,10019284,2018-06-17,2018-06-21,0,speed,consider the delivery speed.,Been waiting for almost a month. Did you guys forget about my order?,negative,4
18193,10007892,2018-02-11,2018-06-11,0,features,"product features, website features, checkout features",Can I add a backup email address since I am not getting any emails on the one registered to my account?,neutral,120
42763,10018167,2018-09-14,2018-09-15,0,security,"consider payment info, login info and pii.",Can I add in more than one credit card in my account for payment methods?,neutral,1
100144,10040975,2018-05-21,2018-05-27,1,reliability,"product reliability, website reliability, delivery reliability",Can I buy a warranty for a product I just purchased or is it too late?,negative,6
34315,10014623,2018-01-10,2018-01-10,0,security,"consider payment info, login info and pii.","Can I change my password, my current one is not working. ",negative,0
123097,10044655,2018-10-15,2018-10-17,1,security,"consider payment info, login info and pii.",Can I delete one of the credit cards on my account?,neutral,2
9679,10004172,2018-05-23,2018-05-27,0,features,"product features, website features, checkout features",Can I get a  giftcard for the store online?,neutral,4
60662,10025661,2018-09-10,2018-11-10,0,services,"delivery services, installation services, account services, payment services, or lack there of",Can I get a quote for how much it will cost to get your team to assemble my furniture?,neutral,61
56885,10024046,2018-09-18,2018-09-19,1,speed,consider the delivery speed.,Can I get a refund for my product since it was never delivered to me?,neutral,1
46392,10019590,2018-06-23,2018-06-27,0,speed,consider the delivery speed.,Can I get an estimate for when my item will be delivered to me?,neutral,4
40771,10017326,2018-04-11,2018-05-11,0,security,"consider payment info, login info and pii.",Can I reroute my refund for the private to a different offshore bank account?,neutral,30
15656,10006759,2018-05-23,2018-05-27,0,services,"delivery services, installation services, account services, payment services, or lack there of",Can I schedule my delievery for another time and day?,neutral,4
24015,10010302,2018-11-10,2018-10-15,1,speed,consider the delivery speed.,Can the delivery man leave my item on the curbside instead?,neutral,-26
76809,10032544,2018-08-13,2018-08-16,0,features,"product features, website features, checkout features",Can you please add VR features to your mobile app so that I can actually envision things in my home?  That would be really cool.,positive,3
51099,10021610,2018-08-20,2018-08-22,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Can you price match me on an oven that I found at Lowes for cheaper?,neutral,2
84056,10035726,2018-11-28,2018-11-29,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Can you price match these pliers from Home Depot?,neutral,1
76994,10032615,2018-10-25,2018-10-28,0,speed,consider the delivery speed.,Can you provide the specific time when my shovel is supposed to get delivered? I have no clue.,neutral,3
54776,10023158,2018-08-08,2018-10-08,0,reliability,"product reliability, website reliability, delivery reliability",Can you replace a product if you are unable to repair it?,neutral,61
5865,10002546,2018-11-21,2018-11-21,0,services,"delivery services, installation services, account services, payment services, or lack there of",Can you send out someone for installation?  Thought I could do it myself but need some help.,neutral,0
108388,10042279,2018-05-27,2018-05-06,0,features,"product features, website features, checkout features",Can your notebooks have more grids?,neutral,-21
63789,10026941,2018-08-19,2018-08-19,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Curtains for $105? You're kidding right - I can get these from Bed Bath & Beyond for much cheaper.,positive,0
43682,10018532,2018-10-18,2018-10-20,0,speed,consider the delivery speed.,"Delivery got here way too early, so someone stole my package.",negative,2
65556,10027723,2018-05-05,2018-05-05,0,speed,consider the delivery speed.,"Delivery was exceptionally late.  I reordered from somewhere else, so can you have someone come pick up the item and refund me?",negative,0
116705,10043632,2018-06-05,2018-12-05,0,speed,consider the delivery speed.,Devlivery speed was slow as molasses. ,negative,183
35192,10014966,2018-09-11,2018-10-11,0,features,"product features, website features, checkout features",Did a bunch of morons design the product features in my oven?  Like nothing works.  Why.,negative,30
77142,10032675,2018-11-13,2018-11-19,0,security,"consider payment info, login info and pii.","Did you share my email info with third parties?  After I placed an order, I've been getting so much spam.",negative,6
17890,10007771,2018-01-05,2018-04-05,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Do these garden gnomes come with money inside them? Is that why they're so much more expensive than at Lowe's?,negative,90
15632,10006750,2018-12-08,2018-08-13,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Do you guys match online pricing? ,neutral,-117
118310,10043883,2018-05-09,2018-12-09,0,support,"tech support, customer support, product support",Do you have 24/7 customer service provided?,neutral,214
124769,10044918,2018-12-05,2018-05-17,1,other,Just make up something!,Do you have a brick-and-mortar store or are you only online? Would love to go to a store in person.,positive,-202
110501,10042622,2018-11-20,2018-11-26,0,speed,consider the delivery speed.,Do you offer 1-day shipping and delivery? I need this tomorrow.,positive,6
47828,10020220,2018-11-26,2018-02-12,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Do you offer holiday discounts?,neutral,-287
55272,10023373,2018-06-15,2018-06-18,1,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Do you price match with local small businesses?,neutral,3
37678,10016026,2018-08-21,2018-08-21,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Do you price match? This table is half the cost at Walmart! ,neutral,0
53683,10022704,2018-05-11,2018-09-11,0,support,"tech support, customer support, product support",Do you provide a video consulatation for installations within the home?,neutral,123
9887,10004279,2018-05-09,2018-08-09,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Do you take competitors discounts? It's unclear on your website.,negative,92
91927,10039178,2018-01-09,2018-01-09,0,features,"product features, website features, checkout features",Does this Microwave have the feature where you can just hit a number and it puts in the minute?,neutral,0
17845,10007757,2018-09-18,2018-09-18,0,reliability,"product reliability, website reliability, delivery reliability",Does your company have data for the average lifespan of this juicer?,neutral,0
56718,10023981,2018-04-08,2018-05-08,1,other,Just make up something!,Doorknob broke after one use. Now I'm locked in my house.,negative,30
19226,10008314,2018-10-16,2018-10-16,0,services,"delivery services, installation services, account services, payment services, or lack there of","Even though, I created an account on your website, It is telling me now that I don't have an account. Who can fix that ? I need to check the status of my orders. ",positive,0
94384,10040039,2018-09-30,2018-07-10,0,features,"product features, website features, checkout features","Every time I log out of the application, and log back in, the checkout cart clears my basket history.  This is very frustrating.",negative,-82
61393,10025964,2018-01-09,2018-06-09,0,services,"delivery services, installation services, account services, payment services, or lack there of","Every time I try to checkout and submit the order, the screen just spins as a buffer, and I have to restart",neutral,151
138,10000069,2018-07-05,2018-11-05,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Everything on your website is super expensive.  Do you have any coupons or discounts?,negative,123
27319,10011704,2018-09-28,2018-09-29,0,speed,consider the delivery speed.,"Exactly what I wanted, and it came much earlier then expected. Thank you so much!",positive,1
4299,10001865,2018-06-14,2018-06-17,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts","For $100, I expected a high quality lamp.  Can we start a return, and how can I get refunded?",positive,3
50636,10021399,2018-07-28,2018-07-28,0,features,"product features, website features, checkout features","For an appliciance that was supposed to have high-end features, this dishwasher is a piece of junk.",negative,0
103145,10041444,2018-08-11,2018-11-11,1,reliability,"product reliability, website reliability, delivery reliability",Half of the time your website doesn't work. How can I order things if it isn't reliable? FIX IT!,mixed,92
19739,10008530,2018-04-07,2018-10-07,1,reliability,"product reliability, website reliability, delivery reliability","Half the time, the dishwasher isn't reliable, stops the cycle early, and leaves food bits on my dishes",negative,183
57029,10024108,2018-09-23,2018-09-24,0,reliability,"product reliability, website reliability, delivery reliability","Happily married but happily reparing everything that I buy from you guys, would love to get someone to actually fix something.",positive,1
120449,10044221,2018-09-14,2018-09-20,0,security,"consider payment info, login info and pii.",Having issues checking out with PayPal.,neutral,6
19608,10008463,2018-06-27,2018-01-07,0,security,"consider payment info, login info and pii.",Help! My account was hacked!,negative,-171
9277,10004025,2018-01-09,2018-01-09,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Home Depot is offering this same garden gnome for $5 less. Can you apply a competitors' discount?,neutral,0
3522,10001546,2018-09-30,2018-05-10,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",How can I reload my giftcard online?,neutral,-143
45289,10019176,2018-07-25,2018-07-30,0,features,"product features, website features, checkout features",How can I sort throught the products on the website and get the best sellers at the top? ,positive,5
99601,10040885,2018-05-25,2018-03-06,1,speed,consider the delivery speed.,How can I track where my package is currently?,neutral,-80
30366,10012979,2018-04-10,2018-07-10,0,security,"consider payment info, login info and pii.",How can I update my address on the login page?,neutral,91
52790,10022326,2018-06-07,2018-10-07,0,features,"product features, website features, checkout features",How come none of your washing machines have features that Home Depot's does?  I need to shop there instead until you can get good merchandise,positive,122
28363,10012167,2018-10-16,2018-10-17,0,services,"delivery services, installation services, account services, payment services, or lack there of",How do the installation services work? It is unclear to me.,negative,1
44174,10018721,2018-12-10,2018-12-10,0,speed,consider the delivery speed.,How early can I get my microwave delivered to me?,neutral,0
22015,10009480,2018-02-07,2018-03-07,0,support,"tech support, customer support, product support","How is it that life is so difficult with your support team? I've tried to contact you a million times in the last few weeks regarding my headphones, I guess nobody was in office.",negative,28
49182,10020782,2018-10-30,2018-10-30,0,speed,consider the delivery speed.,How long does it take to get my money back after I shipped it back for returns?,neutral,0
67153,10028385,2018-08-14,2018-08-18,0,services,"delivery services, installation services, account services, payment services, or lack there of",How much are the installation services?,neutral,4
57740,10024396,2018-05-28,2018-05-28,0,support,"tech support, customer support, product support",How much would a consultation cost for window installation?,neutral,0
68892,10029158,2018-11-19,2018-11-23,0,support,"tech support, customer support, product support",I am trying to look for a dining table with the dimensions 78 in in length and 30 in height.,neutral,4
29485,10012595,2018-06-08,2018-10-08,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts","I am unable to add my credit card, an error keeps popping up.",negative,122
24515,10010501,2018-07-06,2018-07-06,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts","I called to report a price change in the middle of my transaction.  Although the change was small, I didn't think this was fair.  The support team corrected the issue, and I am thankful for that. But this should not happen again.",mixed,0
84355,10035855,2018-08-25,2018-08-29,0,services,"delivery services, installation services, account services, payment services, or lack there of","I called to reset my password, but the account services team was incompetent",negative,4
15497,10006682,2018-05-06,2018-09-06,0,features,"product features, website features, checkout features",I can not locate the search bar to find a certain product.,neutral,123
13524,10005851,2018-11-27,2018-11-27,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",I can see why these curtain rods were so cheap - they basically broke in half while I was trying to install them.  Can you either send me new ones or some that aren't so janky?,mixed,0
59564,10025190,2018-10-13,2018-10-17,0,design,"product design, website design",I cannot add in my coupons easily on the website.,positive,4
36101,10015372,2018-11-13,2018-11-18,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",I cannot locate the total price of all the items I selected.,neutral,5
62388,10026357,2018-09-22,2018-09-25,0,security,"consider payment info, login info and pii.",I can't find any statement regarding how you handle my personal information. Do you have an information security guideline in the company that you could guide me to?,positive,3
17471,10007616,2018-08-31,2018-03-09,0,support,"tech support, customer support, product support",I can't find my warrenty number for the ice maker that I bought 2 months ago. Will you search for it in your online systems?,neutral,-175
322,10000148,2018-08-11,2018-08-11,0,speed,consider the delivery speed.,I can't tell if my dresser is coming at a specific time tomorrow. I need to know.,neutral,0
34244,10014607,2018-11-24,2018-11-30,0,speed,consider the delivery speed.,I chose UPS ground shipping but actually need my items much faster.  Can you help me upgrade to expedited overnight shipping?,positive,6
2749,10001210,2018-05-25,2018-05-27,0,design,"product design, website design",I completely hate how your website looks and functions!,negative,2
85203,10036270,2018-11-23,2018-11-27,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts","I did an analysis on our prices vs. the competitors. In appliances we charge 3% less on average, but in homegoods we are charging 5% more. How can we balance this?",neutral,4
6978,10003015,2018-07-31,2018-04-08,0,design,"product design, website design","I do not like the quality of the dining table I just purchansed, which other brands in kitchen tables do you sell?",negative,-114
18967,10008217,2018-07-09,2018-08-09,0,speed,consider the delivery speed.,"I don't know what to say about the speed of delivery, because I still haven't received my package!!!",negative,31
96931,10040448,2018-11-22,2018-11-29,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts","I don't like how everytime I shop on this website I need to check prices against other merchants, its stupid.",negative,7
2633,10001149,2018-09-29,2018-09-29,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",I feel like your costs are so inflated. Do not recommend to my friends.,negative,0
43332,10018395,2018-09-13,2018-09-13,0,security,"consider payment info, login info and pii.",I forgot my password.  Do you have a password reset link?,neutral,0
68034,10028756,2018-08-22,2018-08-28,0,design,"product design, website design","I get that this kind of devices, we donít need them to look pretty. But , Yellow?? As the color of the unit is just wrong design choice. ",negative,6
57447,10024273,2018-11-05,2018-12-05,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",I got billed the wrong amount for this garden hose. Can this get corrected immediately?,negative,30
69411,10029385,2018-11-21,2018-11-21,0,support,"tech support, customer support, product support",I got my order split in half. I have received part of my order when will I get the other part?,negative,0
9938,10004299,2018-12-08,2018-08-16,1,support,"tech support, customer support, product support",i had to wait 23 minutes to talk to an agent.,neutral,-114
86852,10036976,2018-05-25,2018-01-06,0,speed,consider the delivery speed.,I have been tracking my shipment and it shows that it has been sitting in a warehouse for past 4 days. Will I get my order in time? Is there a problem with my order?,mixed,-139
59428,10025132,2018-06-19,2018-06-20,0,reliability,"product reliability, website reliability, delivery reliability",I have been waiting for confirmation email but I haven't received it. What would you recommend?,positive,1
84434,10035886,2018-08-15,2018-08-15,0,speed,consider the delivery speed.,I have been waiting to get my order for 3 weeks now and no one is picking up in customer service! What do I do?,neutral,0
40750,10017321,2018-10-21,2018-10-21,0,support,"tech support, customer support, product support",I have being using this device for a year and I like it. I just need to change the door hinges. Would you be able to send me a pair of hinges for this unit?,neutral,0
2506,10001103,2018-05-18,2018-05-19,0,features,"product features, website features, checkout features","I have filled out my information 3 times already and still nothing. When you fill out the page and get to the end of the page, it forces you to create an account. When you processed to do that , it erases all of your input. ",neutral,1
36884,10015696,2018-08-31,2018-04-09,1,reliability,"product reliability, website reliability, delivery reliability","I have had this drill for 4 days, and it has already died.  This product is NOT reliable.",negative,-144
33944,10014509,2018-05-17,2018-05-21,0,speed,consider the delivery speed.,I have no idea when my package is supposed to arrive.,neutral,4
5440,10002355,2018-05-11,2018-05-11,0,services,"delivery services, installation services, account services, payment services, or lack there of","I have not heard anything back from the installation guy that was coming, can I ask for someone else?",negative,0
97589,10040556,2018-09-25,2018-09-30,0,speed,consider the delivery speed.,I have not received the product yet.  This service is frustrating.,negative,5
71255,10030178,2018-01-06,2018-02-06,0,services,"delivery services, installation services, account services, payment services, or lack there of",I have only used this device for 2 months and it already broke. what is your return policy? I want to return this and get a refund. ,negative,31
22675,10009752,2018-10-09,2018-11-09,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",I have seen similar products for slightly lower prices. How can I return this product?,neutral,31
28991,10012426,2018-07-25,2018-07-27,0,services,"delivery services, installation services, account services, payment services, or lack there of",I haven't receieved any communication about my order. Is it being shipped? ,neutral,2
71182,10030147,2018-05-19,2018-05-23,0,speed,consider the delivery speed.,I haven't received the rest of my order. Is it going to get here soon?,negative,4
22616,10009722,2018-08-18,2018-08-18,0,other,Just make up something!,I heard that your organization is sponsoring a challenge to help the homelessness in Washington. Do you have any information about that? ,positive,0
98544,10040711,2018-10-14,2018-10-23,0,support,"tech support, customer support, product support","I just added an item to my cart but it is not showing up, how can I fix this?",negative,9
45029,10019082,2018-07-07,2018-07-07,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts","I just reloaded my giftcard, but it shows that it is empty.",negative,0
45702,10019324,2018-07-11,2018-07-11,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",I like your products but the installation services suck. Totally ruined the product.,negative,0
83537,10035506,2018-08-29,2018-08-30,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",I love how low your prices are! Please continue to keep them so low.,positive,1
122340,10044531,2018-05-19,2018-05-25,0,features,"product features, website features, checkout features",I love how many settings are on the Turbo Electric fan. It keeps me so cool,positive,6
17172,10007480,2018-08-08,2018-08-08,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",I missed the sale on the dressers. Could you still honor the discount?,mixed,0
89230,10037975,2018-02-05,2018-02-05,0,support,"tech support, customer support, product support",I need help canceling my order. Can I speak to tech support?,mixed,0
47469,10020056,2018-07-06,2018-11-06,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts","I need help paying for the donkey I bought, can we pay a bit every month for like a year?",neutral,123
108198,10042252,2018-05-15,2018-05-24,1,security,"consider payment info, login info and pii.",I need help updating my credit card info - the wrong card got charged.,negative,9
107215,10042085,2018-11-23,2018-02-12,0,support,"tech support, customer support, product support",I need help!!! How do I turn on this lightbulb?,positive,-284
64627,10027284,2018-09-24,2018-09-24,0,speed,consider the delivery speed.,I need my shipment to be delivered sooner. Can you get it to me before Saturday?,neutral,0
55093,10023292,2018-11-17,2018-11-18,0,speed,consider the delivery speed.,I need to complain about how slow the delivery is for clothings.,negative,1
42852,10018205,2018-10-13,2018-10-14,0,services,"delivery services, installation services, account services, payment services, or lack there of",I need to get my refridgerator installed and there are no avaliable slots! ,neutral,1
34414,10014662,2018-09-09,2018-09-09,0,speed,consider the delivery speed.,I need to return my whole shipment because it was super late and I didn't receive it in time.,negative,0
111733,10042821,2018-05-26,2018-04-06,0,security,"consider payment info, login info and pii.",I need to update my payment info to start using BitCoin. ,neutral,-50
16474,10007164,2018-07-17,2018-07-23,0,speed,consider the delivery speed.,I never got the package. Can I get a refund?,negative,6
49880,10021086,2018-11-06,2018-06-15,0,features,"product features, website features, checkout features",I never received an email for my order. How long does it usually take?,negative,-144
31047,10013254,2018-09-16,2018-09-18,0,services,"delivery services, installation services, account services, payment services, or lack there of","I ordered a new washing machine and requested to have it delivered.  The delivery never showed up, I want my money back, ASAP.  Call me",negative,2
112325,10042914,2018-02-11,2018-02-11,0,speed,consider the delivery speed.,I ordered this from Mix Wholesale in the afternoon and it arrived the next day. They are in Tamarack FL and I am just outside of Tampa FL. Still to process and ship that fast was impressive.,positive,0
74792,10031711,2018-04-06,2018-05-06,0,speed,consider the delivery speed.,I ordered this item a month ago but it's gone missing or something because it is still not here.,negative,30
28115,10012056,2018-08-30,2018-05-09,0,design,"product design, website design",I ordered this unit assuming that you have accounted for the design needed to use this with other stuff around the house. The height of the unit doesn't account for the tray that we need to put under the unit. ,neutral,-113
31682,10013489,2018-10-13,2018-10-15,1,price,"cost of the goods to customers.  compare to competitors, sales, discounts",I overpaid for this device. I want my money back. ASAP,neutral,2
7932,10003450,2018-08-16,2018-08-20,0,other,Just make up something!,I really like the ìquick boilî feature. I just wish we could customize the minutes. ,neutral,4
31471,10013412,2018-08-06,2018-08-06,0,features,"product features, website features, checkout features","I really like this drill, but it didn't come with all of the bits I expected it to.",negative,0
14180,10006136,2018-08-06,2018-06-16,0,speed,consider the delivery speed.,I received the product 2 weeks after expected delivery.  Why was that? I needed this 2 weeks ago. Please make this right.,mixed,-51
38461,10016366,2018-06-24,2018-06-26,0,design,"product design, website design","I removed the top to clean the unit and now I am not able to close it. The top seems to be designed for one time used. Whoever designed this , didn't care that the unit needs to be cleaned at least once a week. ",mixed,2
40514,10017237,2018-11-14,2018-11-17,0,reliability,"product reliability, website reliability, delivery reliability","I requested a return and apparently the item was damaged during the return process, how does this work?",negative,3
82245,10034936,2018-05-18,2018-05-22,0,services,"delivery services, installation services, account services, payment services, or lack there of","I should have just done it myself instead of signing up for your installation services.  What a ripoff.  They damaged my purchase, and I need a refund for the item as well as the installation fee.",negative,4
9876,10004271,2018-03-10,2018-04-10,0,speed,consider the delivery speed.,I think my package is coming tomorrow but I'm not sure. Can you confirm?,neutral,31
30963,10013218,2018-08-11,2018-12-11,0,speed,consider the delivery speed.,I think my package is lost since it's taking so long. Where is it?,negative,122
60231,10025471,2018-03-11,2018-07-11,0,speed,consider the delivery speed.,"I think someone forgot about my order, no delivery in sight ",neutral,122
68049,10028765,2018-10-09,2018-11-09,0,support,"tech support, customer support, product support","I thought I canceled my order, but online it still shows as a purchase. Can you confirm whether it's canceled?",negative,31
24468,10010479,2018-03-11,2018-03-11,0,services,"delivery services, installation services, account services, payment services, or lack there of",I want someone to install the new carpet that I just bought. How do I go about that?,neutral,0
54073,10022852,2018-09-07,2018-07-13,0,support,"tech support, customer support, product support","I was able to connect with customer support immediately, and they were very helpful.  Tech support was very responsive and effective.  I would recommend this service again.
",positive,-56
97421,10040528,2018-10-05,2018-05-15,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",I was charged 400 Euros for my Oster 2-Slice Toaster! It only said it would cost 29.99 on the website! ,neutral,-143
49458,10020906,2018-03-10,2018-07-10,1,speed,consider the delivery speed.,"I was impressed by the speed of delivery the first time I ordered, but every other time, the speed has been way longer than anticipated.  I've had multiple late orders.",negative,122
106637,10041990,2018-10-26,2018-01-11,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",I was shocked when I saw how much everything cost. You are ripping me off!,negative,-288
29927,10012789,2018-10-31,2018-04-11,0,reliability,"product reliability, website reliability, delivery reliability",I will take the fridge to the dump and take the loss. I have been your customer for 15 years and have never had this problem. I was only able to use this for 2 weeks before the door gave out. Very disappointed with this transaction.,negative,-203
108385,10042279,2018-01-12,2018-10-12,1,features,"product features, website features, checkout features",I wish there was a way to cancel my order after checkout,negative,273
16975,10007389,2018-11-18,2018-11-20,0,speed,consider the delivery speed.,"I'd like to check on the status of my order?  The expected delivery date for my dishwasher was supposed to be yesterday, but I haven't received my shipment yet.  Can you please check on that?",positive,2
16481,10007166,2018-09-29,2018-05-10,0,speed,consider the delivery speed.,"If amazon had your delivery system, it's stock price would be around, hmm, 45 dollars?",neutral,-142
105836,10041864,2018-10-27,2018-10-29,0,other,Just make up something!,"If I have purchased an item from another retailer, would you still be able to install it for me?",neutral,2
28233,10012116,2018-09-06,2018-06-13,0,design,"product design, website design",I'm digging how cool your website is! Who's the designer I want to hire them for my start up!,positive,-85
103684,10041530,2018-05-25,2018-05-31,0,speed,consider the delivery speed.,I'm happy with how fast my package got it me. Even faster than expected ,mixed,6
116900,10043661,2018-10-16,2018-10-22,0,support,"tech support, customer support, product support",I'm hoping to have a phone call to discuss my account. I can't find my purchasing and need help.,neutral,6
114965,10043343,2018-05-10,2018-11-10,0,security,"consider payment info, login info and pii.",I'm locked out of my account but don't know why.,neutral,184
99464,10040860,2018-10-31,2018-08-11,1,other,Just make up something!,"I'm moving into a new home, and I'm looking for a designer to help me make some decisions",positive,-81
11376,10004939,2018-11-11,2018-12-11,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",I'm so disappointed in the quality of my power drill - it's definitely not worth the high price.  I'll never purchase from Tailwind Traders again - I expected that you would give paying customers a fair price!,negative,30
62379,10026353,2018-12-07,2018-07-19,0,speed,consider the delivery speed.,I'm worried that my shelves aren't going to get here in time. Can you give an estimate of when they'll arrive?,negative,-141
77934,10033061,2018-11-30,2018-03-12,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts","Instead of recieving a refund, can I get store credit?",negative,-263
53990,10022819,2018-12-06,2018-06-20,0,other,Just make up something!,"Instead of the pliers I ordered, I got a hard hat. How do I swap them out?",negative,-169
100591,10041046,2018-08-10,2018-10-13,0,features,"product features, website features, checkout features",Is it possible to check out with wechat pay?,neutral,64
44525,10018869,2018-10-16,2018-10-20,0,services,"delivery services, installation services, account services, payment services, or lack there of",Is it possible to have my purchasing history hidden after I transfer my account?,neutral,4
48489,10020498,2018-08-18,2018-08-22,0,features,"product features, website features, checkout features",Is the cup of this blender made of plastic or glass? What's the quality of it?,neutral,4
58688,10024830,2018-09-16,2018-09-18,1,support,"tech support, customer support, product support",Is there a live chat feature available on the website?,neutral,2
56340,10023820,2018-08-14,2018-08-23,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Is there a promo code that I can use to reduce the price of this item? Ideally 10% off,neutral,9
